,receiver
587,21
588,19
589,18
590,21
591,13
592,5
593,13
594,6
595,5
596,1
597,12
598,16
599,21
600,12
601,11
602,2
603,7
604,12
605,7
606,5
607,7
608,2
609,12
610,14
611,8
612,19
613,13
614,4
615,8
616,2
617,1
618,4
619,10
620,12
621,2
622,21
623,14
624,20
625,5
626,16
627,16
628,17
629,21
630,7
631,22
632,18
633,14
634,21
635,14
636,20
637,8
638,14
639,12
640,21
641,5
642,5
643,16
644,4
645,22
646,10
647,7
648,8
649,11
650,15
651,10
652,14
653,12
654,7
655,16
656,18
657,7
658,6
659,14
660,17
661,6
662,8
663,10
664,11
665,10
666,9
667,4
668,6
669,8
670,22
671,16
672,19
673,16
674,7
675,6
676,2
677,6
678,8
679,10
680,14
681,8
682,20
683,4
684,5
685,16
686,17
687,13
688,12
689,20
690,10
691,22
692,1
693,2
694,11
695,5
696,8
697,8
698,18
699,19
700,8
701,5
702,10
703,10
704,8
705,22
706,18
707,5
708,2
709,4
710,9
711,14
712,1
713,22
714,12
715,10
716,8
717,18
718,2
719,13
720,17
721,20
722,19
723,6
724,7
725,3
726,17
727,3
728,19
729,20
730,6
731,7
732,14
733,17
734,18
735,15
736,2
737,8
738,3
739,10
740,21
741,2
742,11
743,7
744,8
745,2
746,4
747,9
748,6
749,12
750,9
751,2
752,14
753,19
754,8
755,11
756,17
757,6
758,22
759,19
760,19
761,8
762,2
763,15
764,2
765,21
766,18
767,6
768,13
769,7
770,3
771,1
772,4
773,16
774,4
775,1
776,4
777,17
778,16
779,20
780,20
781,8
782,7
783,2
784,8
785,11
786,8
787,3
788,2
789,19
790,19
791,2
792,21
793,22
794,14
795,13
796,9
797,12
798,17
799,16
800,7
801,22
802,12
803,15
804,6
805,17
806,10
807,18
808,15
809,21
810,6
811,20
812,6
813,5
814,9
815,19
816,1
817,5
818,14
819,2
820,14
821,12
822,7
823,12
824,16
825,11
826,12
827,13
828,4
829,6
830,19
831,22
832,3
833,15
834,5
835,4
836,18
837,4
838,12
839,5
840,1
841,4
842,5
843,6
844,1
845,5
846,8
847,19
848,13
849,8
850,5
851,9
852,3
853,4
854,9
855,16
856,19
857,21
858,16
859,7
860,2
861,21
862,6
863,5
864,20
865,2
866,14
867,6
868,7
869,19
870,18
871,10
872,7
873,14
874,2
875,19
876,17
877,20
878,1
879,5
880,1
881,10
882,9
883,3
884,20
885,21
886,3
887,18
888,5
889,7
890,14
891,20
892,21
893,3
894,22
895,13
896,10
897,16
898,11
899,6
900,5
901,19
902,7
903,13
904,6
905,7
906,21
907,11
908,4
909,7
910,14
911,13
912,9
913,14
914,17
915,3
916,17
917,9
918,2
919,16
920,8
921,22
922,7
923,12
924,5
925,2
926,13
927,21
928,15
929,1
930,16
931,12
932,12
933,1
934,16
935,2
936,2
937,2
938,1
939,2
940,14
941,2
942,18
943,18
944,5
945,20
946,22
947,2
948,13
949,3
950,2
951,2
952,18
953,3
954,1
955,3
956,5
957,14
958,11
959,7
960,3
961,12
962,18
963,20
964,8
965,1
966,16
967,15
968,4
969,6
970,1
971,6
972,5
973,12
974,16
975,2
976,18
977,11
978,3
979,20
980,22
981,3
982,12
983,4
984,9
985,2
986,4
987,1
988,10
989,22
990,18
991,14
992,5
993,7
994,13
995,22
996,8
997,19
998,21
999,9
1000,1
1001,12
1002,16
1003,17
1004,21
1005,22
1006,1
1007,14
1008,15
1009,6
1010,22
1011,14
1012,17
1013,9
1014,22
1015,14
1016,7
1017,13
1018,16
1019,3
1020,6
1021,17
1022,20
1023,20
1024,9
1025,8
1026,1
1027,22
1028,17
1029,8
1030,21
1031,19
1032,7
1033,4
1034,21
1035,14
1036,7
1037,1
1038,11
1039,5
1040,17
1041,5
1042,5
1043,10
1044,8
1045,20
1046,4
1047,10
1048,13
1049,2
1050,22
1051,4
1052,22
1053,4
1054,1
1055,20
1056,16
1057,9
1058,5
1059,10
1060,4
1061,9
1062,10
1063,15
1064,18
1065,1
1066,6
1067,22
1068,8
1069,6
1070,12
1071,8
1072,1
1073,13
1074,10
1075,21
1076,9
1077,3
1078,13
1079,2
1080,5
1081,2
1082,5
1083,7
1084,6
1085,9
1086,4
1087,2
1088,16
1089,14
1090,12
1091,11
1092,19
1093,1
1094,10
1095,18
1096,22
1097,21
1098,18
1099,6
1100,19
1101,2
1102,5
1103,12
1104,2
1105,6
1106,18
1107,16
1108,5
1109,13
1110,9
1111,17
1112,7
1113,8
1114,2
1115,14
1116,16
1117,5
1118,22
1119,19
1120,18
1121,18
1122,13
1123,16
1124,7
1125,17
1126,8
1127,11
1128,6
1129,12
1130,9
1131,15
1132,12
1133,12
1134,11
1135,19
1136,14
1137,13
1138,10
1139,22
1140,6
1141,8
1142,3
1143,20
1144,1
1145,4
1146,10
1147,5
1148,14
1149,14
1150,22
1151,22
1152,8
1153,22
1154,2
1155,7
1156,21
1157,2
1158,7
1159,6
1160,16
1161,22
1162,3
1163,16
1164,10
1165,17
1166,16
1167,11
1168,15
1169,2
1170,11
1171,8
1172,3
1173,10
1174,2
1175,16
1176,18
1177,1
1178,15
1179,17
1180,1
1181,10
1182,7
1183,21
1184,2
1185,12
1186,1
1187,5
1188,9
1189,6
1190,22
1191,5
1192,4
1193,8
1194,5
1195,1
1196,17
1197,19
1198,7
1199,3
1200,22
1201,7
1202,7
1203,18
1204,19
1205,17
1206,7
1207,15
1208,22
1209,7
1210,6
1211,19
1212,21
1213,2
1214,4
1215,5
1216,21
1217,17
1218,14
1219,22
1220,18
1221,9
1222,11
1223,1
1224,12
1225,19
1226,9
1227,11
1228,16
1229,15
1230,7
1231,4
1232,1
1233,12
1234,3
1235,2
1236,6
1237,8
1238,9
1239,5
1240,7
1241,19
1242,9
1243,20
1244,11
1245,6
1246,12
1247,3
1248,22
1249,21
1250,5
1251,16
1252,5
1253,6
1254,9
1255,4
1256,5
1257,7
1258,8
1259,8
1260,7
1261,17
1262,21
1263,7
1264,16
1265,7
1266,19
1267,5
1268,1
1269,1
1270,15
1271,4
1272,20
1273,12
1274,2
1275,1
1276,4
1277,20
1278,20
1279,4
1280,15
1281,17
1282,11
1283,11
1284,6
1285,2
1286,12
1287,13
1288,3
1289,6
1290,5
1291,22
1292,13
1293,1
1294,16
1295,10
1296,13
1297,18
1298,20
1299,10
1300,12
1301,22
1302,2
1303,3
1304,11
1305,9
1306,2
1307,12
1308,2
1309,10
1310,20
1311,12
1312,19
1313,1
1314,13
1315,12
1316,18
1317,21
1318,12
1319,17
1320,11
1321,3
1322,11
1323,5
1324,18
1325,4
1326,7
1327,13
1328,21
1329,4
1330,22
1331,7
1332,2
1333,11
1334,12
1335,5
1336,2
1337,4
1338,10
1339,4
1340,15
1341,2
1342,9
1343,5
1344,2
1345,13
1346,10
1347,13
1348,10
1349,8
1350,6
1351,19
1352,4
1353,18
1354,11
1355,10
1356,9
1357,11
1358,11
1359,4
1360,11
1361,7
1362,14
1363,21
1364,4
1365,22
1366,20
1367,4
1368,19
1369,3
1370,15
1371,16
1372,4
1373,3
1374,19
1375,17
1376,8
1377,5
1378,18
1379,22
1380,7
1381,12
1382,2
1383,5
1384,7
1385,19
1386,4
1387,22
1388,3
1389,22
1390,14
1391,14
1392,8
1393,1
1394,17
1395,4
1396,17
1397,7
1398,17
1399,3
1400,6
1401,11
1402,2
1403,20
1404,3
1405,3
1406,8
1407,21
1408,9
1409,22
1410,19
1411,3
1412,13
1413,5
1414,20
1415,2
1416,4
1417,2
1418,2
1419,5
1420,7
1421,21
1422,16
1423,3
1424,8
1425,11
1426,16
1427,14
1428,13
1429,18
1430,5
1431,4
1432,3
1433,21
1434,16
1435,8
1436,3
1437,14
1438,10
1439,12
1440,12
1441,14
1442,6
1443,18
1444,4
1445,6
1446,21
1447,4
1448,22
1449,19
1450,19
1451,7
1452,20
1453,19
1454,2
1455,8
1456,16
1457,1
1458,4
1459,21
1460,10
1461,8
1462,1
1463,17
1464,20
1465,2
1466,10
1467,3
1468,6
1469,2
1470,9
1471,11
1472,18
1473,4
1474,10
1475,17
1476,4
1477,3
1478,15
1479,8
1480,11
1481,19
1482,11
1483,12
1484,19
1485,4
1486,12
1487,22
1488,18
1489,17
1490,2
1491,4
1492,21
1493,6
1494,13
1495,5
1496,8
1497,8
1498,15
1499,11
1500,14
1501,19
1502,10
1503,4
1504,5
1505,22
1506,1
1507,21
1508,8
1509,5
1510,20
1511,9
1512,5
1513,17
1514,16
1515,10
1516,10
1517,8
1518,6
1519,18
1520,21
1521,7
1522,18
1523,11
1524,1
1525,1
1526,7
1527,8
1528,4
1529,14
1530,7
1531,7
1532,14
1533,18
1534,8
1535,21
1536,17
1537,1
1538,8
1539,3
1540,6
1541,5
1542,8
1543,7
1544,13
1545,4
1546,8
1547,19
1548,5
1549,5
1550,9
1551,21
1552,5
1553,2
1554,12
1555,16
1556,11
1557,16
1558,2
1559,7
1560,3
1561,3
1562,17
1563,16
1564,2
1565,1
1566,5
1567,8
1568,4
1569,18
1570,11
1571,10
1572,2
1573,4
1574,6
1575,14
1576,22
1577,3
1578,2
1579,8
1580,3
1581,16
1582,11
1583,8
1584,12
1585,6
1586,14
1587,4
1588,4
1589,8
1590,9
1591,20
1592,12
1593,7
1594,7
1595,19
1596,15
1597,2
1598,7
1599,22
1600,22
1601,2
1602,2
1603,4
1604,2
1605,2
1606,17
1607,20
1608,7
1609,7
1610,15
1611,12
1612,22
1613,17
1614,19
1615,21
1616,8
1617,16
1618,3
1619,1
1620,14
1621,14
1622,7
1623,14
1624,11
1625,17
1626,5
1627,9
1628,15
1629,11
1630,8
1631,10
1632,9
1633,14
1634,9
1635,13
1636,1
1637,18
1638,3
1639,8
1640,21
1641,17
1642,8
1643,22
1644,20
1645,11
1646,14
1647,19
1648,21
1649,21
1650,2
1651,7
1652,16
1653,9
1654,11
1655,13
1656,3
1657,9
1658,10
1659,9
1660,14
1661,19
1662,2
1663,15
1664,19
1665,4
1666,5
1667,1
1668,14
1669,10
1670,22
1671,16
1672,17
1673,5
1674,22
1675,2
1676,15
1677,14
1678,16
1679,19
1680,22
1681,6
1682,3
1683,4
1684,22
1685,21
1686,6
1687,8
1688,3
1689,19
1690,7
1691,17
1692,2
1693,19
1694,2
1695,18
1696,2
1697,20
1698,11
1699,14
1700,22
1701,11
1702,15
1703,1
1704,8
1705,19
1706,7
1707,4
1708,2
1709,19
1710,6
1711,17
1712,9
1713,22
1714,12
1715,21
1716,11
1717,12
1718,11
1719,13
1720,5
1721,1
1722,19
1723,17
1724,4
1725,19
1726,3
1727,18
1728,2
1729,6
1730,4
1731,3
1732,6
1733,17
1734,20
1735,15
1736,13
1737,21
1738,6
1739,17
1740,13
1741,5
1742,11
1743,12
1744,7
1745,1
1746,2
1747,21
1748,4
1749,1
1750,22
1751,15
1752,16
1753,1
1754,18
1755,20
1756,16
1757,3
1758,9
1759,13
1760,3
1761,10
1762,18
1763,22
1764,5
1765,19
1766,21
1767,4
1768,16
1769,9
1770,13
1771,14
1772,16
1773,14
1774,20
1775,21
1776,1
1777,1
1778,12
1779,9
1780,1
1781,18
1782,5
1783,5
1784,4
1785,4
1786,8
1787,22
1788,2
1789,21
1790,7
1791,20
1792,2
1793,14
1794,10
1795,21
1796,6
1797,17
1798,9
1799,8
1800,8
1801,11
1802,14
1803,15
1804,14
1805,6
1806,6
1807,11
1808,12
1809,8
1810,11
1811,13
1812,20
1813,19
1814,8
1815,16
1816,7
1817,5
1818,14
1819,13
1820,15
1821,1
1822,11
1823,2
1824,6
1825,16
1826,20
1827,12
1828,6
1829,2
1830,17
1831,20
1832,10
1833,17
1834,7
1835,13
1836,17
1837,18
1838,8
1839,22
1840,2
1841,2
1842,5
1843,5
1844,18
1845,5
1846,2
1847,14
1848,9
1849,15
1850,3
1851,13
1852,6
1853,16
1854,15
1855,22
1856,22
1857,15
1858,6
1859,7
1860,6
1861,5
1862,22
1863,5
1864,12
1865,21
1866,16
1867,11
1868,7
1869,20
1870,22
1871,3
1872,7
1873,3
1874,16
1875,17
1876,19
1877,11
1878,11
1879,7
1880,16
1881,8
1882,16
1883,3
1884,9
1885,17
1886,19
1887,20
1888,8
1889,19
1890,21
1891,2
1892,10
1893,5
1894,13
1895,10
1896,8
1897,7
1898,14
1899,13
1900,7
1901,6
1902,20
1903,2
1904,2
1905,11
1906,2
1907,16
1908,11
1909,16
1910,7
1911,15
1912,6
1913,10
1914,14
1915,2
1916,4
1917,7
1918,11
1919,22
1920,2
1921,18
1922,3
1923,13
1924,19
1925,9
1926,5
1927,13
1928,6
1929,3
1930,15
1931,6
1932,12
1933,2
1934,16
1935,20
1936,8
1937,6
1938,3
1939,20
1940,13
1941,7
1942,5
1943,9
1944,1
1945,17
1946,3
1947,6
1948,3
1949,5
1950,4
1951,6
1952,8
1953,17
1954,2
1955,7
1956,18
1957,4
1958,15
1959,8
1960,3
1961,2
1962,22
1963,18
1964,21
1965,18
1966,7
1967,12
1968,9
1969,14
1970,2
1971,20
1972,10
1973,7
1974,9
1975,2
1976,16
1977,4
1978,11
1979,19
1980,16
1981,3
1982,13
1983,9
1984,5
1985,6
1986,21
1987,4
1988,5
1989,2
1990,13
1991,2
1992,18
1993,15
1994,15
1995,13
1996,22
1997,3
1998,13
1999,18
2000,7
2001,21
2002,3
2003,3
2004,1
2005,12
2006,18
2007,5
2008,20
2009,11
2010,18
2011,13
2012,11
2013,14
2014,9
2015,11
2016,17
2017,11
2018,1
2019,3
2020,12
2021,19
2022,13
2023,2
2024,13
2025,15
2026,13
2027,22
2028,4
2029,10
2030,20
2031,3
2032,15
2033,3
2034,9
2035,21
2036,11
2037,13
2038,7
2039,14
2040,21
2041,22
2042,2
2043,8
2044,22
2045,9
2046,14
2047,1
2048,22
2049,18
2050,12
2051,17
2052,11
2053,4
2054,5
2055,9
2056,17
2057,22
2058,7
2059,6
2060,8
2061,5
2062,10
2063,4
2064,14
2065,9
2066,21
2067,13
2068,6
2069,9
2070,1
2071,2
2072,14
2073,7
2074,7
2075,4
2076,10
2077,16
2078,21
2079,18
2080,9
2081,1
2082,9
2083,14
2084,11
2085,7
2086,3
2087,3
2088,10
2089,20
2090,20
2091,6
2092,21
2093,20
2094,16
2095,1
2096,1
2097,13
2098,7
2099,21
2100,13
2101,9
2102,10
2103,21
2104,21
2105,9
2106,4
2107,18
2108,2
2109,6
2110,7
2111,13
2112,11
2113,20
2114,2
2115,3
2116,13
2117,14
2118,2
2119,8
2120,13
2121,2
2122,21
2123,22
2124,8
2125,14
2126,4
2127,11
2128,20
2129,5
2130,22
2131,16
2132,19
2133,8
2134,14
2135,2
2136,16
2137,9
2138,2
2139,22
2140,2
2141,11
2142,19
2143,22
2144,16
2145,2
2146,2
2147,9
2148,2
2149,1
2150,16
2151,15
2152,22
2153,20
2154,16
2155,17
2156,21
2157,22
2158,5
2159,18
2160,8
2161,13
2162,16
2163,11
2164,7
2165,12
2166,17
2167,19
2168,9
2169,10
2170,8
2171,1
2172,14
2173,20
2174,3
2175,2
2176,3
2177,7
2178,12
2179,2
2180,15
2181,10
2182,2
2183,3
2184,19
2185,19
2186,6
2187,4
2188,16
2189,2
2190,12
2191,14
2192,5
2193,2
2194,21
2195,16
2196,18
2197,3
2198,20
2199,19
2200,5
2201,2
2202,15
2203,18
2204,18
2205,2
2206,2
2207,3
2208,9
2209,4
2210,13
2211,2
2212,6
2213,8
2214,15
2215,20
2216,3
2217,5
2218,15
2219,22
2220,1
2221,11
2222,20
2223,17
2224,22
2225,20
2226,1
2227,15
2228,1
2229,18
2230,1
2231,10
2232,2
2233,17
2234,7
2235,3
2236,9
2237,12
2238,6
2239,22
2240,21
2241,6
2242,20
2243,13
2244,10
2245,15
2246,4
2247,7
2248,22
2249,15
2250,3
2251,8
2252,2
2253,13
2254,22
2255,7
2256,18
2257,4
2258,17
2259,16
2260,10
2261,5
2262,14
2263,16
2264,3
2265,10
2266,9
2267,14
2268,10
2269,10
2270,8
2271,1
2272,14
2273,16
2274,1
2275,4
2276,10
2277,8
2278,4
2279,9
2280,21
2281,2
2282,14
2283,2
2284,4
2285,13
2286,14
2287,3
2288,11
2289,7
2290,21
2291,22
2292,11
2293,15
2294,19
2295,11
2296,10
2297,15
2298,1
2299,6
2300,14
2301,3
2302,21
2303,9
2304,18
2305,7
2306,1
2307,18
2308,4
2309,2
2310,20
2311,13
2312,12
2313,4
2314,8
2315,21
2316,16
2317,16
2318,22
2319,20
2320,21
2321,3
2322,7
2323,2
2324,3
2325,21
2326,15
2327,17
2328,1
2329,10
2330,2
2331,14
2332,22
2333,18
2334,14
2335,17
2336,9
2337,11
2338,11
2339,21
2340,17
2341,8
2342,2
2343,8
2344,21
2345,5
2346,20
2347,2
2348,19
2349,14
2350,11
2351,8
2352,19
2353,7
2354,11
2355,21
2356,21
2357,13
2358,17
2359,11
2360,1
2361,16
2362,6
2363,2
2364,10
2365,17
2366,4
2367,2
2368,6
2369,2
2370,8
2371,22
2372,8
2373,3
2374,11
2375,13
2376,5
2377,18
2378,9
2379,1
2380,21
2381,9
2382,2
2383,19
2384,2
2385,11
2386,20
2387,16
2388,5
2389,13
2390,20
2391,10
2392,11
2393,6
2394,7
2395,19
2396,1
2397,19
2398,2
2399,20
2400,16
2401,22
2402,16
2403,12
2404,3
2405,3
2406,20
2407,10
2408,9
2409,11
2410,7
2411,14
2412,22
2413,7
2414,17
2415,15
2416,13
2417,3
2418,4
2419,22
2420,6
2421,3
2422,21
2423,1
2424,15
2425,18
2426,2
2427,13
2428,18
2429,11
2430,15
2431,3
2432,4
2433,6
2434,2
2435,1
2436,14
2437,21
2438,9
2439,10
2440,13
2441,13
2442,4
2443,1
2444,13
2445,4
2446,8
2447,20
2448,10
2449,22
2450,6
2451,17
2452,20
2453,15
2454,8
2455,6
2456,6
2457,1
2458,4
2459,2
2460,21
2461,16
2462,6
2463,10
2464,3
2465,5
2466,13
2467,22
2468,19
2469,21
2470,16
2471,3
2472,3
2473,4
2474,20
2475,8
2476,17
2477,20
2478,5
2479,11
2480,2
2481,16
2482,5
2483,7
2484,3
2485,10
2486,16
2487,14
2488,10
2489,3
2490,18
2491,2
2492,14
2493,18
2494,12
2495,12
2496,19
2497,4
2498,11
2499,15
2500,6
2501,4
2502,15
2503,7
2504,3
2505,8
2506,5
2507,3
2508,21
2509,17
2510,18
2511,6
2512,5
2513,4
2514,16
2515,11
2516,11
2517,4
2518,5
2519,12
2520,9
2521,5
2522,2
2523,11
2524,14
2525,15
2526,22
2527,16
2528,9
2529,16
2530,22
2531,6
2532,14
2533,22
2534,12
2535,2
2536,5
2537,13
2538,5
2539,17
2540,10
2541,17
2542,7
2543,8
2544,16
2545,18
2546,5
2547,5
2548,9
2549,4
2550,14
2551,17
2552,3
2553,4
2554,9
2555,18
2556,6
2557,14
2558,17
2559,2
2560,6
2561,4
2562,5
2563,7
2564,19
2565,11
2566,7
2567,16
2568,8
2569,21
2570,9
2571,10
2572,9
2573,18
2574,5
2575,10
2576,1
2577,17
2578,15
2579,5
2580,7
2581,9
2582,15
2583,8
2584,20
2585,1
2586,19
2587,10
2588,11
2589,17
2590,16
2591,5
2592,12
2593,4
2594,11
2595,1
2596,16
2597,13
2598,8
2599,6
2600,13
2601,20
2602,16
2603,15
2604,7
2605,21
2606,14
2607,5
2608,17
2609,19
2610,19
2611,6
2612,12
2613,20
2614,13
2615,13
2616,20
2617,13
2618,18
2619,5
2620,2
2621,9
2622,16
2623,6
2624,15
2625,5
2626,7
2627,13
2628,22
2629,17
2630,22
2631,21
2632,9
2633,14
2634,20
2635,18
2636,9
2637,3
2638,4
2639,16
2640,17
2641,7
2642,14
2643,10
2644,12
2645,12
2646,18
2647,18
2648,1
2649,19
2650,16
2651,3
2652,7
2653,20
2654,11
2655,1
2656,5
2657,16
2658,2
2659,10
2660,14
2661,19
2662,13
2663,17
2664,22
2665,19
2666,22
2667,11
2668,17
2669,4
2670,5
2671,5
2672,6
2673,11
2674,14
2675,20
2676,9
2677,3
2678,1
2679,22
2680,11
2681,12
2682,2
2683,14
2684,20
2685,2
2686,16
2687,22
2688,21
2689,14
2690,7
2691,7
2692,21
2693,4
2694,16
2695,13
2696,19
2697,7
2698,13
2699,8
2700,18
2701,16
2702,8
2703,1
2704,17
2705,6
2706,9
2707,12
2708,17
2709,17
2710,1
2711,9
2712,5
2713,1
2714,5
2715,19
2716,5
2717,12
2718,5
2719,6
2720,2
2721,13
2722,22
2723,13
2724,22
2725,5
2726,18
2727,8
2728,4
2729,13
2730,19
2731,18
2732,5
2733,10
2734,7
2735,2
2736,2
2737,15
2738,7
2739,14
2740,7
2741,9
2742,5
2743,20
2744,22
2745,2
2746,7
2747,7
2748,4
2749,3
2750,21
2751,6
2752,20
2753,3
2754,4
2755,4
2756,7
2757,4
2758,5
2759,7
2760,13
2761,21
2762,5
2763,15
2764,7
2765,10
2766,7
2767,14
2768,16
2769,22
2770,14
2771,10
2772,7
2773,16
2774,7
2775,4
2776,3
2777,1
2778,1
2779,2
2780,5
2781,19
2782,12
2783,16
2784,5
2785,2
2786,20
2787,17
2788,4
2789,4
2790,20
2791,2
2792,9
2793,8
2794,3
2795,7
2796,19
2797,1
2798,18
2799,15
2800,14
2801,3
2802,4
2803,11
2804,2
2805,16
2806,18
2807,3
2808,17
2809,2
2810,8
2811,8
2812,13
2813,12
2814,8
2815,18
2816,12
2817,17
2818,19
2819,10
2820,22
2821,17
2822,15
2823,2
2824,18
2825,4
2826,10
2827,17
2828,6
2829,17
2830,19
2831,2
2832,14
2833,2
2834,22
2835,20
2836,4
2837,11
2838,15
2839,10
2840,21
2841,13
2842,2
2843,7
2844,20
2845,19
2846,13
2847,16
2848,4
2849,7
2850,18
2851,6
2852,3
2853,8
2854,14
2855,5
2856,4
2857,10
2858,1
2859,22
2860,19
2861,19
2862,22
2863,10
2864,14
2865,8
2866,21
2867,13
2868,8
2869,12
2870,7
2871,1
2872,22
2873,13
2874,2
2875,8
2876,7
2877,18
2878,14
2879,11
2880,21
2881,11
2882,8
2883,20
2884,8
2885,1
2886,22
2887,2
2888,1
2889,5
2890,6
2891,8
2892,6
2893,8
2894,21
2895,2
2896,6
2897,3
2898,8
2899,9
2900,2
2901,16
2902,21
2903,22
2904,7
2905,11
2906,3
2907,16
2908,14
2909,22
2910,6
2911,8
2912,16
2913,12
2914,22
2915,8
2916,15
2917,19
2918,15
2919,19
2920,21
2921,19
2922,12
2923,16
2924,22
2925,17
2926,7
2927,6
2928,3
2929,6
2930,20
2931,13
2932,15
2933,4
2934,4
2935,16
2936,10
2937,4
2938,8
2939,10
2940,1
2941,14
2942,9
2943,19
2944,21
2945,2
2946,3
2947,9
2948,7
2949,16
2950,3
2951,12
2952,7
2953,7
2954,16
2955,5
2956,11
2957,5
2958,16
2959,6
2960,2
2961,17
2962,6
2963,3
2964,11
2965,16
2966,1
2967,10
2968,13
2969,16
2970,2
2971,3
2972,3
2973,12
2974,14
2975,7
2976,1
2977,1
2978,17
2979,10
2980,4
2981,6
2982,22
2983,17
2984,17
2985,6
2986,14
2987,11
2988,3
2989,16
2990,4
2991,4
2992,19
2993,13
2994,19
2995,1
2996,11
2997,1
